year,date,rm_up,rm_down,dry_length,reach,event_number,day_number
2002,6/6/2002,84.1,74,10.1,San Acacia,1,1
2002,6/9/2002,76.6,74,2.6,San Acacia,2,1
2002,6/10/2002,79.6,74,5.6,San Acacia,2,2
2002,6/13/2002,64.1,57.5,6.6,San Acacia,3,1
2002,6/20/2002,82.2,74,8.2,San Acacia,4,1
2002,6/21/2002,84.9,74,10.9,San Acacia,4,2
2002,6/25/2002,64.1,57.5,6.6,San Acacia,5,1
2002,6/26/2002,91.9,74,17.9,San Acacia,5,2
2002,6/27/2002,85.1,74,11.1,San Acacia,5,3
2002,6/28/2002,84.7,74,10.7,San Acacia,5,4
2002,6/29/2002,92.4,74,18.4,San Acacia,5,5
2002,6/30/2002,85.1,74,11.1,San Acacia,5,6
2002,7/1/2002,94,74,20,San Acacia,5,7
2002,7/2/2002,94,74,20,San Acacia,5,8
2002,7/3/2002,94.6,74,20.6,San Acacia,5,9
2002,7/4/2002,94,74,20,San Acacia,5,10
2002,7/5/2002,86.4,74,12.4,San Acacia,5,11
2002,7/6/2002,92.5,74,18.5,San Acacia,5,12
2002,7/8/2002,93.3,74,19.3,San Acacia,6,1
2002,7/9/2002,93.3,74,19.3,San Acacia,6,2
2002,7/10/2002,94.7,74,20.7,San Acacia,6,3
2002,7/11/2002,94,74,20,San Acacia,6,4
2002,7/12/2002,95.1,74,21.1,San Acacia,6,5
2002,7/15/2002,94,74,20,San Acacia,7,1
2002,7/16/2002,93.1,74,19.1,San Acacia,7,2
2002,7/18/2002,93.1,74,19.1,San Acacia,8,1
2002,7/19/2002,91.9,74,17.9,San Acacia,8,2
2002,8/18/2002,91,74,17,San Acacia,9,1
2002,8/19/2002,76.3,74,2.3,San Acacia,9,2
2002,8/20/2002,116.1,74,42.1,San Acacia,9,3
2002,8/25/2002,76.6,74,2.6,San Acacia,10,1
2002,9/11/2002,93.2,74,19.2,San Acacia,11,1
2002,9/30/2002,79.9,74,5.9,San Acacia,12,1
2002,10/3/2002,78.3,74,4.3,San Acacia,13,1
2002,10/8/2002,79.9,74,5.9,San Acacia,14,1
2002,10/9/2002,79.6,74,5.6,San Acacia,14,2
2002,10/14/2002,76.6,74,2.6,San Acacia,15,1
2002,10/20/2002,82.9,74,8.9,San Acacia,16,1
2003,8/5/2003,68.7,57.5,11.2,San Acacia,1,1
2003,8/11/2003,71.8,57.5,14.3,San Acacia,2,1
2003,8/12/2003,61.2,57.5,3.7,San Acacia,2,2
2003,8/16/2003,61.2,57.5,3.7,San Acacia,3,1
2003,9/6/2003,107.7,74,33.7,San Acacia,4,1
2003,9/9/2003,118.9,116.2,2.7,San Acacia,5,1
2003,9/20/2003,94,74,20,San Acacia,6,1
2003,9/21/2003,94,74,20,San Acacia,6,2
2003,10/2/2003,127.6,116.2,11.4,Isleta,7,1
2003,10/29/2003,97.2,74,23.2,San Acacia,8,1
2003,10/30/2003,92.6,74,18.6,San Acacia,8,2
2004,6/16/2004,75.6,74,1.6,San Acacia,1,1
2004,6/17/2004,80,74,6,San Acacia,1,2
2004,6/19/2004,84.3,74,10.3,San Acacia,2,1
2004,6/21/2004,89.8,74,15.8,San Acacia,3,1
2004,6/22/2004,90,74,16,San Acacia,3,2
2004,6/23/2004,90,74,16,San Acacia,3,3
2004,6/24/2004,154.9,152.5,2.4,Isleta,3,4
2004,6/26/2004,154.9,152.5,2.4,Isleta,4,1
2004,6/27/2004,94.2,74,20.2,San Acacia,4,2
2004,6/28/2004,156.5,152.5,4,Isleta,4,3
2004,6/29/2004,87.9,74,13.9,San Acacia,4,4
2004,7/1/2004,83.6,74,9.6,San Acacia,5,1
2004,7/5/2004,154.5,152.5,2,Isleta,6,1
2004,7/6/2004,155.4,152.5,2.9,Isleta,6,2
2004,7/7/2004,155.5,152.5,3,Isleta,6,3
2004,7/8/2004,159.8,152.5,7.3,Isleta,6,4
2004,7/10/2004,95.7,74,21.7,San Acacia,7,1
2004,7/11/2004,162.5,152.5,10,Isleta,7,2
2004,7/12/2004,163.6,152.5,11.1,Isleta,7,3
2004,7/13/2004,163.4,152.5,10.9,Isleta,7,4
2004,7/14/2004,162.7,152.5,10.2,Isleta,7,5
2004,7/15/2004,164,152.5,11.5,Isleta,7,6
2004,7/16/2004,164.3,152.5,11.8,Isleta,7,7
2004,7/17/2004,136.3,132,4.3,Isleta,7,8
2004,7/18/2004,135.7,132,3.7,Isleta,7,9
2004,7/19/2004,164.3,152.5,11.8,Isleta,7,10
2004,7/20/2004,164.5,152.5,12,Isleta,7,11
2004,7/21/2004,99.8,74,25.8,San Acacia,7,12
2004,7/22/2004,135.3,132,3.3,Isleta,7,13
2004,7/23/2004,135.8,132,3.8,Isleta,7,14
2004,7/31/2004,160.8,152.5,8.3,Isleta,8,1
2004,8/2/2004,164,152.5,11.5,Isleta,9,1
2004,8/3/2004,81.4,74,7.4,San Acacia,9,2
2004,8/4/2004,155.9,152.5,3.4,Isleta,9,3
2004,8/5/2004,155.9,152.5,3.4,Isleta,9,4
2004,8/6/2004,155.9,152.5,3.4,Isleta,9,5
2004,8/7/2004,162.9,152.5,10.4,Isleta,9,6
2004,8/8/2004,163.9,152.5,11.4,Isleta,9,7
2004,8/9/2004,164.3,152.5,11.8,Isleta,9,8
2004,8/10/2004,164.3,152.5,11.8,Isleta,9,9
2004,8/11/2004,116.2,74,42.2,San Acacia,9,10
2004,8/12/2004,88.1,74,14.1,San Acacia,9,11
2004,8/13/2004,164.6,152.5,12.1,Isleta,9,12
2004,8/14/2004,164.9,152.5,12.4,Isleta,9,13
2004,8/15/2004,164.8,152.5,12.3,Isleta,9,14
2004,8/16/2004,134.3,132,2.3,Isleta,9,15
2004,8/22/2004,164.9,152.5,12.4,Isleta,10,1
2004,8/23/2004,167.4,152.5,14.9,Isleta,10,2
2004,8/24/2004,166.5,152.5,14,Isleta,10,3
2004,8/25/2004,167.3,152.5,14.8,Isleta,10,4
2004,8/27/2004,167.3,152.5,14.8,Isleta,11,1
2004,8/28/2004,135.4,132,3.4,Isleta,11,2
2004,8/29/2004,166.8,152.5,14.3,Isleta,11,3
2004,9/1/2004,104.5,74,30.5,San Acacia,12,1
2004,9/3/2004,105.8,74,31.8,San Acacia,13,1
2004,9/7/2004,135.4,132,3.4,Isleta,14,1
2004,9/8/2004,163.6,152.5,11.1,Isleta,14,2
2004,9/9/2004,108.9,74,34.9,San Acacia,14,3
2004,9/10/2004,110.1,74,36.1,San Acacia,14,4
2004,9/11/2004,109.5,74,35.5,San Acacia,14,5
